Id,Category,Date,Day_Num,Day,Time_Num,Time,District,Latitude,Longitude
1,Home,2015/1/1,4,Thu,3,07~09,Zhongshan,25.0463313,121.5323976
2,Home,2015/1/1,4,Thu,4,10~12,Wenshan,24.991519,121.560748
3,Home,2015/1/1,4,Thu,8,22~24,Wenshan,25.0033593,121.5638885
4,Home,2015/1/1,4,Thu,8,22~24,Xinyi,25.0417047,121.5737724
5,Home,2015/1/2,5,Fri,2,04~06,Wanhua,25.0342984,121.4959466
6,Home,2015/1/2,5,Fri,2,04~06,Wanhua,25.0342984,121.4959466
7,Home,2015/1/2,5,Fri,4,10~12,Zhongshan,25.0570157,121.5303217
8,Home,2015/1/2,5,Fri,8,22~24,Shilin,25.1139037,121.5317229
9,Home,2015/1/4,7,Sun,4,10~12,Xinyi,25.047144,121.573118
10,Home,2015/1/4,7,Sun,4,10~12,Shilin,25.0800773,121.5230311
11,Home,2015/1/5,1,Mon,2,04~06,Wanhua,25.0338366,121.4952048
12,Home,2015/1/5,1,Mon,4,10~12,Beitou,25.1149989,121.5096215
13,Home,2015/1/5,1,Mon,6,16~18,Zhongzheng,25.0284004,121.5057093
14,Home,2015/1/5,1,Mon,8,22~24,Zhongshan,25.0516888,121.543275
15,Home,2015/1/6,2,Tue,2,04~06,Xinyi,25.0470216,121.5682465
16,Home,2015/1/6,2,Tue,6,16~18,Zhongzheng,25.014078,121.533523
17,Home,2015/1/8,4,Thu,3,07~09,Wenshan,25.0016237,121.5659149
18,Home,2015/1/9,5,Fri,4,10~12,Neihu,25.0823766,121.577905
19,Home,2015/1/9,5,Fri,5,13~15,Zhongshan,25.0799234,121.5545504
20,Home,2015/1/9,5,Fri,6,16~18,Songshan,25.0618628,121.5449868
21,Home,2015/1/10,6,Sat,2,04~06,Xinyi,25.0370405,121.5816487
22,Home,2015/1/11,7,Sun,3,07~09,Wanhua,25.0284293,121.5016054
23,Home,2015/1/12,1,Mon,3,07~09,Daan,25.0300455,121.5457713
24,Home,2015/1/12,1,Mon,7,19~21,Songshan,25.0469982,121.5553737
25,Home,2015/1/12,1,Mon,7,19~21,Songshan,25.0560495,121.5672685
26,Home,2015/1/13,2,Tue,4,10~12,Wanhua,25.0254958,121.5046556
27,Home,2015/1/15,4,Thu,3,07~09,Nangang,25.0343176,121.6137199
28,Home,2015/1/15,4,Thu,4,10~12,Daan,25.0443155,121.551699
29,Home,2015/1/15,4,Thu,4,10~12,Neihu,25.0705864,121.6081107
30,Home,2015/1/15,4,Thu,8,22~24,Songshan,25.0505901,121.5757746
31,Home,2015/1/16,5,Fri,4,10~12,Songshan,25.0322761,121.5491635
32,Home,2015/1/17,6,Sat,4,10~12,Wenshan,24.987883,121.559339
33,Home,2015/1/18,7,Sun,1,01~03,Wanhua,25.037703,121.5061818
34,Home,2015/1/18,7,Sun,3,07~09,Wanhua,25.0276785,121.4909723
35,Home,2015/1/18,7,Sun,4,10~12,Daan,25.031589,121.5558806
36,Home,2015/1/18,7,Sun,7,19~21,Xinyi,25.0418883,121.5738696
37,Home,2015/1/20,2,Tue,7,19~21,Nangang,25.0621336,121.6131989
38,Home,2015/1/21,3,Wed,3,07~09,Wanhua,25.0378281,121.4951129
39,Home,2015/1/21,3,Wed,7,19~21,Shilin,25.0838589,121.5164924
40,Home,2015/1/21,3,Wed,7,19~21,Zhongshan,25.0653175,121.5306808
41,Home,2015/1/21,3,Wed,8,22~24,Zhongshan,25.0492864,121.5218992
42,Home,2015/1/22,4,Thu,4,10~12,Datong,25.0664337,121.5178814
43,Home,2015/1/22,4,Thu,6,16~18,Daan,25.028665,121.531945
44,Home,2015/1/23,5,Fri,5,13~15,Zhongzheng,25.0286917,121.5136586
45,Home,2015/1/23,5,Fri,7,19~21,Wenshan,24.99104,121.5769595
46,Home,2015/1/24,6,Sat,4,10~12,Wanhua,25.0358445,121.4973308
47,Home,2015/1/26,1,Mon,1,01~03,Wanhua,25.0256649,121.4988383
48,Home,2015/1/26,1,Mon,3,07~09,Datong,25.072482,121.515248
49,Home,2015/1/26,1,Mon,7,19~21,Neihu,25.0854803,121.5598068
50,Home,2015/1/27,2,Tue,1,01~03,Zhongshan,25.0524875,121.522842
51,Home,2015/1/27,2,Tue,2,04~06,Zhongshan,25.0583355,121.5376308
52,Home,2015/1/27,2,Tue,4,10~12,Wenshan,24.990607,121.542867
53,Home,2015/1/27,2,Tue,5,13~15,Nangang,25.0553369,121.6053803
54,Home,2015/1/27,2,Tue,6,16~18,Daan,25.0301472,121.5265386
55,Home,2015/1/28,3,Wed,5,13~15,Neihu,25.0689281,121.6183404
56,Home,2015/1/29,4,Thu,5,13~15,Songshan,25.05707,121.5647381
57,Home,2015/1/29,4,Thu,5,13~15,Xinyi,25.04189,121.574287
58,Home,2015/1/30,5,Fri,5,13~15,Xinyi,25.0400079,121.575822
59,Home,2015/1/31,6,Sat,8,22~24,Nangang,25.0570045,121.5961107
60,Home,2015/2/1,7,Sun,4,10~12,Beitou,25.1375139,121.5006811
61,Home,2015/2/1,7,Sun,4,10~12,Songshan,25.0556924,121.5500334
62,Home,2015/2/1,7,Sun,7,19~21,Xinyi,25.0342949,121.5749952
63,Home,2015/2/1,7,Sun,8,22~24,Beitou,25.1380276,121.5027198
64,Home,2015/2/2,1,Mon,3,07~09,Zhongzheng,25.0229517,121.5173403
65,Home,2015/2/2,1,Mon,7,19~21,Beitou,25.1380276,121.5027198
66,Home,2015/2/4,3,Wed,6,16~18,Zhongshan,25.065211,121.5293055
67,Home,2015/2/5,4,Thu,1,01~03,Shilin,25.0846678,121.5174356
68,Home,2015/2/5,4,Thu,2,04~06,Neihu,25.0707231,121.6207134
69,Home,2015/2/5,4,Thu,5,13~15,Wanhua,25.0337934,121.4936294
70,Home,2015/2/6,5,Fri,3,07~09,Zhongshan,25.0551109,121.538292
71,Home,2015/2/7,6,Sat,8,22~24,Zhongzheng,25.0388857,121.5327651
72,Home,2015/2/8,7,Sun,2,04~06,Daan,25.029294,121.539839
73,Home,2015/2/9,1,Mon,1,01~03,Wenshan,24.9847799,121.562084
74,Home,2015/2/10,2,Tue,1,01~03,Beitou,25.137655,121.499456
75,Home,2015/2/11,3,Wed,6,16~18,Neihu,25.070812,121.60831
76,Home,2015/2/12,4,Thu,7,19~21,Wenshan,24.9964529,121.549665
77,Home,2015/2/12,4,Thu,8,22~24,Wanhua,25.0196499,121.499322
78,Home,2015/2/13,5,Fri,2,04~06,Zhongshan,25.0449579,121.5409071
79,Home,2015/2/13,5,Fri,3,07~09,Zhongshan,25.065211,121.5293055
80,Home,2015/2/15,7,Sun,3,07~09,Daan,25.027893,121.553726
81,Home,2015/2/15,7,Sun,3,07~09,Zhongshan,25.0486369,121.5302099
82,Home,2015/2/15,7,Sun,4,10~12,Beitou,25.1161431,121.5095908
83,Home,2015/2/15,7,Sun,8,22~24,Xinyi,25.0185961,121.5591098
84,Home,2015/2/16,1,Mon,4,10~12,Zhongzheng,25.0183867,121.5292181
85,Home,2015/2/16,1,Mon,5,13~15,Neihu,25.0570536,121.5836643
86,Home,2015/2/16,1,Mon,6,16~18,Neihu,25.0844198,121.5669363
87,Home,2015/2/16,1,Mon,8,22~24,Songshan,25.05189,121.5578
88,Home,2015/2/16,1,Mon,8,22~24,Xinyi,25.02768,121.563734
89,Home,2015/2/18,3,Wed,2,04~06,Datong,25.0613975,121.515856
90,Home,2015/2/19,4,Thu,5,13~15,Xinyi,25.0207337,121.5576168
91,Home,2015/2/19,4,Thu,6,16~18,Beitou,25.1075163,121.5176127
92,Home,2015/2/19,4,Thu,6,16~18,Xinyi,25.047126,121.5765989
93,Home,2015/2/19,4,Thu,7,19~21,Xinyi,25.047126,121.5765989
94,Home,2015/2/20,5,Fri,2,04~06,Beitou,25.1081636,121.5166896
95,Home,2015/2/21,6,Sat,7,19~21,Daan,25.0305818,121.5563381
96,Home,2015/2/22,7,Sun,1,01~03,Wenshan,24.9784842,121.5548454
97,Home,2015/2/23,1,Mon,4,10~12,Nangang,25.053507,121.6140897
98,Home,2015/2/23,1,Mon,5,13~15,Xinyi,25.037405,121.581287
99,Home,2015/2/23,1,Mon,7,19~21,Shilin,25.1069338,121.5262084
100,Home,2015/2/23,1,Mon,8,22~24,Shilin,25.088998,121.524773
101,Home,2015/2/24,2,Tue,4,10~12,Wanhua,25.0196499,121.499322
102,Home,2015/2/24,2,Tue,6,16~18,Beitou,25.1412233,121.5098649
103,Home,2015/2/24,2,Tue,7,19~21,Neihu,25.0843028,121.5694955
104,Home,2015/2/25,3,Wed,2,04~06,Zhongzheng,25.0442628,121.5160088
