Id,Category,Catagotry_Num,Date,Day_Num,Day,Time_Num,Time,District,Category_Count_In_Dist
1,住宅竊盜,1,2015/1/1,4,Thu,3,07~09,中山區,223
2,住宅竊盜,1,2015/1/1,4,Thu,4,10~12,文山區,117
3,住宅竊盜,1,2015/1/1,4,Thu,8,22~24,文山區,117
4,住宅竊盜,1,2015/1/1,4,Thu,8,22~24,信義區,113
5,住宅竊盜,1,2015/1/2,5,Fri,2,04~06,萬華區,154
6,住宅竊盜,1,2015/1/2,5,Fri,2,04~06,萬華區,154
7,住宅竊盜,1,2015/1/2,5,Fri,4,10~12,中山區,223
8,住宅竊盜,1,2015/1/2,5,Fri,8,22~24,士林區,195
9,住宅竊盜,1,2015/1/4,7,Sun,4,10~12,信義區,113
10,住宅竊盜,1,2015/1/4,7,Sun,4,10~12,士林區,195
11,住宅竊盜,1,2015/1/5,1,Mon,2,04~06,萬華區,154
12,住宅竊盜,1,2015/1/5,1,Mon,4,10~12,北投區,169
13,住宅竊盜,1,2015/1/5,1,Mon,6,16~18,中正區,129
14,住宅竊盜,1,2015/1/5,1,Mon,8,22~24,中山區,223
15,住宅竊盜,1,2015/1/6,2,Tue,2,04~06,信義區,113
16,住宅竊盜,1,2015/1/6,2,Tue,6,16~18,中正區,129
17,住宅竊盜,1,2015/1/8,4,Thu,3,07~09,文山區,117
18,住宅竊盜,1,2015/1/9,5,Fri,4,10~12,內湖區,171
19,住宅竊盜,1,2015/1/9,5,Fri,5,13~15,中山區,223
20,住宅竊盜,1,2015/1/9,5,Fri,6,16~18,松山區,127
21,住宅竊盜,1,2015/1/10,6,Sat,2,04~06,信義區,113
22,住宅竊盜,1,2015/1/11,7,Sun,3,07~09,萬華區,154
23,住宅竊盜,1,2015/1/12,1,Mon,3,07~09,大安區,150
24,住宅竊盜,1,2015/1/12,1,Mon,7,19~21,松山區,127
25,住宅竊盜,1,2015/1/12,1,Mon,7,19~21,松山區,127
26,住宅竊盜,1,2015/1/13,2,Tue,4,10~12,萬華區,154
27,住宅竊盜,1,2015/1/15,4,Thu,3,07~09,南港區,82
28,住宅竊盜,1,2015/1/15,4,Thu,4,10~12,大安區,150
29,住宅竊盜,1,2015/1/15,4,Thu,4,10~12,內湖區,171
30,住宅竊盜,1,2015/1/15,4,Thu,8,22~24,松山區,127
31,住宅竊盜,1,2015/1/16,5,Fri,4,10~12,松山區,127
32,住宅竊盜,1,2015/1/17,6,Sat,4,10~12,文山區,117
33,住宅竊盜,1,2015/1/18,7,Sun,1,01~03,萬華區,154
34,住宅竊盜,1,2015/1/18,7,Sun,3,07~09,萬華區,154
35,住宅竊盜,1,2015/1/18,7,Sun,4,10~12,大安區,150
36,住宅竊盜,1,2015/1/18,7,Sun,7,19~21,信義區,113
37,住宅竊盜,1,2015/1/20,2,Tue,7,19~21,南港區,82
38,住宅竊盜,1,2015/1/21,3,Wed,3,07~09,萬華區,154
39,住宅竊盜,1,2015/1/21,3,Wed,7,19~21,士林區,195
40,住宅竊盜,1,2015/1/21,3,Wed,7,19~21,中山區,223
41,住宅竊盜,1,2015/1/21,3,Wed,8,22~24,中山區,223
42,住宅竊盜,1,2015/1/22,4,Thu,4,10~12,大同區,84
43,住宅竊盜,1,2015/1/22,4,Thu,6,16~18,大安區,150
44,住宅竊盜,1,2015/1/23,5,Fri,5,13~15,中正區,129
45,住宅竊盜,1,2015/1/23,5,Fri,7,19~21,文山區,117
46,住宅竊盜,1,2015/1/24,6,Sat,4,10~12,萬華區,154
47,住宅竊盜,1,2015/1/26,1,Mon,1,01~03,萬華區,154
48,住宅竊盜,1,2015/1/26,1,Mon,3,07~09,大同區,84
49,住宅竊盜,1,2015/1/26,1,Mon,7,19~21,內湖區,171
50,住宅竊盜,1,2015/1/27,2,Tue,1,01~03,中山區,223
51,住宅竊盜,1,2015/1/27,2,Tue,2,04~06,中山區,223
52,住宅竊盜,1,2015/1/27,2,Tue,4,10~12,文山區,117
53,住宅竊盜,1,2015/1/27,2,Tue,5,13~15,南港區,82
54,住宅竊盜,1,2015/1/27,2,Tue,6,16~18,大安區,150
55,住宅竊盜,1,2015/1/28,3,Wed,5,13~15,內湖區,171
56,住宅竊盜,1,2015/1/29,4,Thu,5,13~15,松山區,127
57,住宅竊盜,1,2015/1/29,4,Thu,5,13~15,信義區,113
58,住宅竊盜,1,2015/1/30,5,Fri,5,13~15,信義區,113
59,住宅竊盜,1,2015/1/31,6,Sat,8,22~24,南港區,82
60,住宅竊盜,1,2015/2/1,7,Sun,4,10~12,北投區,169
61,住宅竊盜,1,2015/2/1,7,Sun,4,10~12,松山區,127
62,住宅竊盜,1,2015/2/1,7,Sun,7,19~21,信義區,113
63,住宅竊盜,1,2015/2/1,7,Sun,8,22~24,北投區,169
64,住宅竊盜,1,2015/2/2,1,Mon,3,07~09,中正區,129
65,住宅竊盜,1,2015/2/2,1,Mon,7,19~21,北投區,169
66,住宅竊盜,1,2015/2/4,3,Wed,6,16~18,中山區,223
67,住宅竊盜,1,2015/2/5,4,Thu,1,01~03,士林區,195
68,住宅竊盜,1,2015/2/5,4,Thu,2,04~06,內湖區,171
69,住宅竊盜,1,2015/2/5,4,Thu,5,13~15,萬華區,154
70,住宅竊盜,1,2015/2/6,5,Fri,3,07~09,中山區,223
71,住宅竊盜,1,2015/2/7,6,Sat,8,22~24,中正區,129
72,住宅竊盜,1,2015/2/8,7,Sun,2,04~06,大安區,150
73,住宅竊盜,1,2015/2/9,1,Mon,1,01~03,文山區,117
74,住宅竊盜,1,2015/2/10,2,Tue,1,01~03,北投區,169
75,住宅竊盜,1,2015/2/11,3,Wed,6,16~18,內湖區,171
76,住宅竊盜,1,2015/2/12,4,Thu,7,19~21,文山區,117
77,住宅竊盜,1,2015/2/12,4,Thu,8,22~24,萬華區,154
78,住宅竊盜,1,2015/2/13,5,Fri,2,04~06,中山區,223
79,住宅竊盜,1,2015/2/13,5,Fri,3,07~09,中山區,223
80,住宅竊盜,1,2015/2/15,7,Sun,3,07~09,大安區,150
81,住宅竊盜,1,2015/2/15,7,Sun,3,07~09,中山區,223
82,住宅竊盜,1,2015/2/15,7,Sun,4,10~12,北投區,169
83,住宅竊盜,1,2015/2/15,7,Sun,8,22~24,信義區,113
84,住宅竊盜,1,2015/2/16,1,Mon,4,10~12,中正區,129
85,住宅竊盜,1,2015/2/16,1,Mon,5,13~15,內湖區,171
86,住宅竊盜,1,2015/2/16,1,Mon,6,16~18,內湖區,171
87,住宅竊盜,1,2015/2/16,1,Mon,8,22~24,松山區,127
88,住宅竊盜,1,2015/2/16,1,Mon,8,22~24,信義區,113
89,住宅竊盜,1,2015/2/18,3,Wed,2,04~06,大同區,84
90,住宅竊盜,1,2015/2/19,4,Thu,5,13~15,信義區,113
91,住宅竊盜,1,2015/2/19,4,Thu,6,16~18,北投區,169
92,住宅竊盜,1,2015/2/19,4,Thu,6,16~18,信義區,113
93,住宅竊盜,1,2015/2/19,4,Thu,7,19~21,信義區,113
94,住宅竊盜,1,2015/2/20,5,Fri,2,04~06,北投區,169
95,住宅竊盜,1,2015/2/21,6,Sat,7,19~21,大安區,150
96,住宅竊盜,1,2015/2/22,7,Sun,1,01~03,文山區,117
97,住宅竊盜,1,2015/2/23,1,Mon,4,10~12,南港區,82
98,住宅竊盜,1,2015/2/23,1,Mon,5,13~15,信義區,113
99,住宅竊盜,1,2015/2/23,1,Mon,7,19~21,士林區,195
100,住宅竊盜,1,2015/2/23,1,Mon,8,22~24,士林區,195
101,住宅竊盜,1,2015/2/24,2,Tue,4,10~12,萬華區,154
102,住宅竊盜,1,2015/2/24,2,Tue,6,16~18,北投區,169
103,住宅竊盜,1,2015/2/24,2,Tue,7,19~21,內湖區,171
104,住宅竊盜,1,2015/2/25,3,Wed,2,04~06,中正區,129
105,住宅竊盜,1,2015/2/25,3,Wed,3,07~09,士林區,195
106,住宅竊盜,1,2015/2/26,4,Thu,1,01~03,大安區,150
107,住宅竊盜,1,2015/2/26,4,Thu,5,13~15,中正區,129
108,住宅竊盜,1,2015/2/26,4,Thu,7,19~21,內湖區,171
109,住宅竊盜,1,2015/2/27,5,Fri,1,01~03,萬華區,154
110,住宅竊盜,1,2015/2/27,5,Fri,4,10~12,北投區,169
111,住宅竊盜,1,2015/2/27,5,Fri,8,22~24,萬華區,154
112,住宅竊盜,1,2015/2/28,6,Sat,7,19~21,萬華區,154
113,住宅竊盜,1,2015/3/4,3,Wed,1,01~03,北投區,169
114,住宅竊盜,1,2015/3/4,3,Wed,6,16~18,士林區,195
115,住宅竊盜,1,2015/3/4,3,Wed,6,16~18,內湖區,171
116,住宅竊盜,1,2015/3/5,4,Thu,2,04~06,北投區,169
117,住宅竊盜,1,2015/3/5,4,Thu,5,13~15,內湖區,171
118,住宅竊盜,1,2015/3/6,5,Fri,1,01~03,內湖區,171
119,住宅竊盜,1,2015/3/6,5,Fri,7,19~21,大安區,150
120,住宅竊盜,1,2015/3/7,6,Sat,2,04~06,北投區,169
121,住宅竊盜,1,2015/3/8,7,Sun,6,16~18,萬華區,154
122,住宅竊盜,1,2015/3/8,7,Sun,8,22~24,萬華區,154
123,住宅竊盜,1,2015/3/10,2,Tue,4,10~12,萬華區,154
124,住宅竊盜,1,2015/3/10,2,Tue,4,10~12,萬華區,154
125,住宅竊盜,1,2015/3/10,2,Tue,8,22~24,士林區,195
126,住宅竊盜,1,2015/3/10,2,Tue,8,22~24,松山區,127
127,住宅竊盜,1,2015/3/12,4,Thu,1,01~03,中正區,129
128,住宅竊盜,1,2015/3/12,4,Thu,4,10~12,大同區,84
129,住宅竊盜,1,2015/3/12,4,Thu,6,16~18,大安區,150
130,住宅竊盜,1,2015/3/13,5,Fri,1,01~03,北投區,169
131,住宅竊盜,1,2015/3/14,6,Sat,1,01~03,文山區,117
132,住宅竊盜,1,2015/3/15,7,Sun,1,01~03,萬華區,154
133,住宅竊盜,1,2015/3/16,1,Mon,3,07~09,大安區,150
134,住宅竊盜,1,2015/3/16,1,Mon,3,07~09,中正區,129
135,住宅竊盜,1,2015/3/17,2,Tue,1,01~03,北投區,169
136,住宅竊盜,1,2015/3/17,2,Tue,4,10~12,南港區,82
137,住宅竊盜,1,2015/3/19,4,Thu,4,10~12,文山區,117
138,住宅竊盜,1,2015/3/19,4,Thu,8,22~24,北投區,169
139,住宅竊盜,1,2015/3/20,5,Fri,4,10~12,萬華區,154
140,住宅竊盜,1,2015/3/20,5,Fri,7,19~21,萬華區,154
141,住宅竊盜,1,2015/3/24,2,Tue,3,07~09,松山區,127
142,住宅竊盜,1,2015/3/25,3,Wed,5,13~15,大安區,150
143,住宅竊盜,1,2015/3/26,4,Thu,6,16~18,文山區,117
144,住宅竊盜,1,2015/3/27,5,Fri,6,16~18,文山區,117
145,住宅竊盜,1,2015/3/27,5,Fri,7,19~21,信義區,113
146,住宅竊盜,1,2015/3/28,6,Sat,7,19~21,中山區,223
147,住宅竊盜,1,2015/3/29,7,Sun,3,07~09,松山區,127
148,住宅竊盜,1,2015/3/29,7,Sun,4,10~12,士林區,195
149,住宅竊盜,1,2015/3/29,7,Sun,6,16~18,松山區,127
150,住宅竊盜,1,2015/3/30,1,Mon,3,07~09,中山區,223
151,住宅竊盜,1,2015/3/30,1,Mon,4,10~12,士林區,195
152,住宅竊盜,1,2015/3/30,1,Mon,4,10~12,文山區,117
153,住宅竊盜,1,2015/3/31,2,Tue,3,07~09,內湖區,171
154,住宅竊盜,1,2015/3/31,2,Tue,8,22~24,萬華區,154
155,住宅竊盜,1,2015/4/1,3,Wed,5,13~15,士林區,195
156,住宅竊盜,1,2015/4/1,3,Wed,8,22~24,中山區,223
157,住宅竊盜,1,2015/4/4,6,Sat,5,13~15,文山區,117
158,住宅竊盜,1,2015/4/5,7,Sun,4,10~12,文山區,117
